gene,seqnames,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,logFC,AveExpr,t,P.Value,adj.P.Val,isSignificant
FCER1A,1,159289714,159308224,18511,+,ENSG00000179639,FCER1A,protein_coding,chromosome,Fc fragment of IgE receptor Ia [Source:HGNC Symbol;Acc:HGNC:3609],ENSG00000179639.10,-4.657743441126991,1.8853514491977266,-6.692228683044179,5.914349145922864e-9,7.637575419803116e-6,TRUE
CD1C,1,158289923,158294774,4852,+,ENSG00000158481,CD1C,protein_coding,chromosome,CD1c molecule [Source:HGNC Symbol;Acc:HGNC:1636],ENSG00000158481.13,-2.369047400956476,2.063010838980736,-6.58444538353225,8.879131682965135e-9,1.051067212970998e-5,TRUE
KLRB1,12,9594551,9607916,13366,-,ENSG00000111796,KLRB1,protein_coding,chromosome,killer cell lectin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6373],ENSG00000111796.4,-2.9337928839040663,4.457877573768686,-6.544715788690517,1.031241643696321e-8,1.1268298114389414e-5,TRUE
MKI67,10,128096659,128126423,29765,-,ENSG00000148773,MKI67,protein_coding,chromosome,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107],ENSG00000148773.14,2.9015307369474455,5.913450910671457,6.457141061782725,1.433815490088884e-8,1.4548106454794712e-5,TRUE
PID1,2,228850526,229271285,420760,-,ENSG00000153823,PID1,protein_coding,chromosome,phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084],ENSG00000153823.18,-3.5099101645786934,1.965481346748847,-6.381247412776575,1.907137335396602e-8,1.6985415001989565e-5,TRUE
CLEC4F,2,70808643,70820599,11957,-,ENSG00000152672,CLEC4F,protein_coding,chromosome,C-type lectin domain family 4 member F [Source:HGNC Symbol;Acc:HGNC:25357],ENSG00000152672.8,-4.2093468836366865,-2.920702745280385,-6.380405929937482,1.9131759241945305e-8,1.6985415001989565e-5,TRUE
NOG,17,56593699,56595611,1913,+,ENSG00000183691,NOG,protein_coding,chromosome,noggin [Source:HGNC Symbol;Acc:HGNC:7866],ENSG00000183691.6,-3.1853710648796394,-0.2952108412263818,-6.342783692235823,2.2034856286580266e-8,1.767024320321522e-5,TRUE
PRSS33,16,2783953,2787948,3996,-,ENSG00000103355,PRSS33,protein_coding,chromosome,serine protease 33 [Source:HGNC Symbol;Acc:HGNC:30405],ENSG00000103355.13,-5.120885210046167,-1.4449160803443999,-6.338514801263445,2.2391015674612737e-8,1.767024320321522e-5,TRUE
SHISA4,1,201888680,201892306,3627,+,ENSG00000198892,SHISA4,protein_coding,chromosome,shisa family member 4 [Source:HGNC Symbol;Acc:HGNC:27139],ENSG00000198892.6,-2.6974881875202725,0.46202398537476763,-6.306704336802474,2.5229616447385837e-8,1.886245798079557e-5,TRUE
IGLC3,22,22906342,22906803,462,+,ENSG00000211679,IGLC3,IG_C_gene,chromosome,immunoglobulin lambda constant 3 (Kern-Oz+ marker) [Source:HGNC Symbol;Acc:HGNC:5857],ENSG00000211679.2,3.349603924520732,9.129900583147327,6.219416251366827,3.499446722247381e-8,2.4854820344762023e-5,TRUE
RORC,1,151806071,151831845,25775,-,ENSG00000143365,RORC,protein_coding,chromosome,RAR related orphan receptor C [Source:HGNC Symbol;Acc:HGNC:10260],ENSG00000143365.19,-2.434712782852344,1.3195152468312716,-6.13822606076901,4.741627582790522e-8,3.207372372073303e-5,TRUE
OLFM1,9,135075422,135121179,45758,+,ENSG00000130558,OLFM1,protein_coding,chromosome,olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187],ENSG00000130558.19,-3.9770443896425203,-1.6841950236672578,-5.89244272417755,1.1849223324913595e-7,7.349597373200718e-5,TRUE
RRM2,2,10120698,10211725,91028,+,ENSG00000171848,RRM2,protein_coding,chromosome,ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452],ENSG00000171848.15,3.0175376713253237,5.772315454176161,5.891289164135723,1.1900087263894159e-7,7.349597373200718e-5,TRUE
TRAV1-2,14,21642889,21643578,690,+,ENSG00000256553,TRAV1-2,TR_V_gene,chromosome,T cell receptor alpha variable 1-2 [Source:HGNC Symbol;Acc:HGNC:12102],ENSG00000256553.1,-2.6907196494653283,0.26528694728884133,-5.79948344986521,1.6726182612774192e-7,9.899809333935726e-5,TRUE
TIFAB,5,135444226,135452351,8126,-,ENSG00000255833,TIFAB,protein_coding,chromosome,TIFA inhibitor [Source:HGNC Symbol;Acc:HGNC:34024],ENSG00000255833.2,-3.408902863655781,-1.03504560364461,-5.776458375569083,1.8214116270757945e-7,1.0349260865044666e-4,TRUE
HBB,11,5225464,5229395,3932,-,ENSG00000244734,HBB,protein_coding,chromosome,hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827],ENSG00000244734.4,-5.351972732633784,5.578119815521347,-5.749628183844168,2.0115020508596823e-7,1.098976408940838e-4,TRUE
CACNG6,19,53992288,54012669,20382,+,ENSG00000130433,CACNG6,protein_coding,chromosome,calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625],ENSG00000130433.7,-3.6576218396133573,-2.5167108769031477,-5.706088221200529,2.362338510589228e-7,1.242852538626666e-4,TRUE
IGLC2,22,22900976,22901437,462,+,ENSG00000211677,IGLC2,IG_C_gene,chromosome,immunoglobulin lambda constant 2 [Source:HGNC Symbol;Acc:HGNC:5856],ENSG00000211677.2,3.1784916801162586,10.219410305858313,5.643594094087074,2.9743804292760805e-7,1.50896692849524e-4,TRUE
MIR1244-1,2,231713314,231713398,85,+,ENSG00000284378,MIR1244-1,miRNA,chromosome,microRNA 1244-1 [Source:HGNC Symbol;Acc:HGNC:35310],ENSG00000284378.1,-4.317625560263513,1.860407393913002,-5.605456483864561,3.422479000385521e-7,1.6620466199948175e-4,TRUE
PMP22,17,15229777,15265326,35550,-,ENSG00000109099,PMP22,protein_coding,chromosome,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118],ENSG00000109099.15,-3.0254702064037478,-1.8612040057863228,-5.5985768645127845,3.510130137264662e-7,1.6620466199948175e-4,TRUE
CD1E,1,158353696,158357553,3858,+,ENSG00000158488,CD1E,protein_coding,chromosome,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638],ENSG00000158488.16,-2.9822318369553287,-1.8508684141536154,-5.576865554240632,3.8016062923394557e-7,1.7105103864355502e-4,TRUE
TPPP3,16,67389809,67393518,3710,-,ENSG00000159713,TPPP3,protein_coding,chromosome,tubulin polymerization promoting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:24162],ENSG00000159713.11,-2.948286497642959,0.6870802756583761,-5.573186636938742,3.8533144924982473e-7,1.7105103864355502e-4,TRUE
F5,1,169511951,169586588,74638,-,ENSG00000198734,F5,protein_coding,chromosome,coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542],ENSG00000198734.12,2.1235597684730196,7.487813281189346,5.538971294484273,4.368784071086213e-7,1.8805629615084745e-4,TRUE
MMP9,20,46008908,46016561,7654,+,ENSG00000100985,MMP9,protein_coding,chromosome,matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176],ENSG00000100985.7,3.5132065683379725,8.690771389613186,5.495377365782948,5.125306704052025e-7,2.141322992089971e-4,TRUE
HBA2,16,172876,173710,835,+,ENSG00000188536,HBA2,protein_coding,chromosome,hemoglobin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4824],ENSG00000188536.13,-4.587457500332809,5.20512209122009,-5.477693056102851,5.467940433096127e-7,2.196339764680352e-4,TRUE
TXNDC5,6,7881517,7910788,29272,-,ENSG00000239264,TXNDC5,protein_coding,chromosome,thioredoxin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21073],ENSG00000239264.9,2.9709804474249237,8.966855385565422,5.47281847486569,5.566225380393712e-7,2.196339764680352e-4,TRUE
AC138866.1,5,70219918,70258930,39013,-,ENSG00000253816,AC138866.1,unprocessed_pseudogene,chromosome,"glucuronidase, beta (GUSB) pseudogene",ENSG00000253816.3,-4.127544459106088,-3.7793681418878715,-5.265392518735459,1.1840554048533853e-6,4.5458127097141454e-4,TRUE
MYBL2,20,43667019,43716495,49477,+,ENSG00000101057,MYBL2,protein_coding,chromosome,MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548],ENSG00000101057.16,3.4141231738778326,5.194996495167657,5.135370768473554,1.8928058670356502e-6,7.075607195063529e-4,TRUE
DYSF,2,71453722,71686768,233047,+,ENSG00000135636,DYSF,protein_coding,chromosome,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097],ENSG00000135636.14,2.1496920978569287,9.265789175312428,5.114204657845699,2.0423669576147384e-6,7.43892888023522e-4,TRUE
CDC25A,3,48157146,48188417,31272,-,ENSG00000164045,CDC25A,protein_coding,chromosome,cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725],ENSG00000164045.12,3.510476919750652,2.213898769142421,5.093431944498765,2.200436053325564e-6,7.763767194799662e-4,TRUE
EEF1A1P9,4,105484698,105486080,1383,+,ENSG00000249264,EEF1A1P9,processed_pseudogene,chromosome,eukaryotic translation elongation factor 1 alpha 1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:3204],ENSG00000249264.1,-2.1567475298848375,-0.994403689707849,-5.08835508693964,2.240862055521198e-6,7.763767194799662e-4,TRUE
NTNG2,9,132161676,132244526,82851,+,ENSG00000196358,NTNG2,protein_coding,chromosome,netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288],ENSG00000196358.11,2.58574850767629,5.7309144534531535,5.080988464681998,2.3008240806804577e-6,7.781715730015691e-4,TRUE
HJURP,2,233833416,233854566,21151,-,ENSG00000123485,HJURP,protein_coding,chromosome,Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444],ENSG00000123485.12,2.833861250222228,2.705630575492855,5.044495138821989,2.6219365100512124e-6,8.519759731232497e-4,TRUE
GTSE1,22,46296870,46330810,33941,+,ENSG00000075218,GTSE1,protein_coding,chromosome,G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698],ENSG00000075218.19,2.637674558185947,2.617064720486043,5.040115900074543,2.6633151168272384e-6,8.519759731232497e-4,TRUE
NCAPG,4,17810979,17844865,33887,+,ENSG00000109805,NCAPG,protein_coding,chromosome,non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304],ENSG00000109805.10,3.026195428001491,3.379294294596305,5.036395379830378,2.6989735157019524e-6,8.519759731232497e-4,TRUE
NDRG2,14,21016763,21070872,54110,-,ENSG00000165795,NDRG2,protein_coding,chromosome,NDRG family member 2 [Source:HGNC Symbol;Acc:HGNC:14460],ENSG00000165795.23,-1.8636127885908795,2.1217547967754475,-5.023649846963747,2.8247239435926244e-6,8.633075521112276e-4,TRUE
IGHV3-23,14,106268606,106269140,535,-,ENSG00000211949,IGHV3-23,IG_V_gene,chromosome,immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:HGNC:5588],ENSG00000211949.3,3.4672568008281015,7.016149344638178,5.020525306290257,2.856420622965695e-6,8.633075521112276e-4,TRUE
RAD54L,1,46246461,46278480,32020,+,ENSG00000085999,RAD54L,protein_coding,chromosome,RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826],ENSG00000085999.13,2.86171545222678,1.5512981265585153,4.927022780393898,3.984767609646074e-6,0.0011792421644796348,TRUE
IGLV3-1,22,22880706,22881396,691,+,ENSG00000211673,IGLV3-1,IG_V_gene,chromosome,immunoglobulin lambda variable 3-1 [Source:HGNC Symbol;Acc:HGNC:5896],ENSG00000211673.2,4.017228871409445,6.27491441113513,4.910804252846754,4.2208068832565036e-06,0.0011868307347661306,TRUE
IGLV2-14,22,22758700,22759218,519,+,ENSG00000211666,IGLV2-14,IG_V_gene,chromosome,immunoglobulin lambda variable 2-14 [Source:HGNC Symbol;Acc:HGNC:5888],ENSG00000211666.2,2.9683719304358913,7.049568321271218,4.908164117980723,4.260481106443461e-6,0.0011868307347661306,TRUE
MZB1,5,139387467,139390081,2615,-,ENSG00000170476,MZB1,protein_coding,chromosome,marginal zone B and B1 cell specific protein [Source:HGNC Symbol;Acc:HGNC:30125],ENSG00000170476.16,3.119733927844219,6.2880025599836245,4.908125755582743,4.261060716161399e-6,0.0011868307347661306,TRUE
IGHA1,14,105703995,105708665,4671,-,ENSG00000211895,IGHA1,IG_C_gene,chromosome,immunoglobulin heavy constant alpha 1 [Source:HGNC Symbol;Acc:HGNC:5478],ENSG00000211895.5,2.7908087313846988,10.773641983104886,4.8968613347878875,4.43461137575329e-6,0.0012114164344726056,TRUE
MCM10,10,13161554,13211104,49551,+,ENSG00000065328,MCM10,protein_coding,chromosome,minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043],ENSG00000065328.16,2.9793336791113965,2.3771886409350502,4.860177939313755,5.049250687097964e-6,0.0013114680151753526,TRUE
H2AC7,6,26198851,26199243,393,-,ENSG00000196866,H2AC7,protein_coding,chromosome,H2A clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4729],ENSG00000196866.2,3.3459583926652456,1.0927859270508489,4.859966777561092,5.053020982234086e-6,0.0013114680151753526,TRUE
BUB1,2,110637528,110678063,40536,-,ENSG00000169679,BUB1,protein_coding,chromosome,BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148],ENSG00000169679.15,2.9275775776850974,4.249263322201467,4.854517353288572,5.151255277773418e-6,0.0013114680151753526,TRUE
SKA3,13,21153595,21176552,22958,-,ENSG00000165480,SKA3,protein_coding,chromosome,spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262],ENSG00000165480.16,3.0685343827388056,1.5852669877846088,4.851805867493164,5.2008299014209984e-6,0.0013114680151753526,TRUE
KIF4A,X,70290104,70420886,130783,+,ENSG00000090889,KIF4A,protein_coding,chromosome,kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339],ENSG00000090889.12,3.0909602642605813,2.363543188306007,4.848468483793047,5.262490451601204e-6,0.0013114680151753526,TRUE
IGKV4-1,2,88885397,88886153,757,+,ENSG00000211598,IGKV4-1,IG_V_gene,chromosome,immunoglobulin kappa variable 4-1 [Source:HGNC Symbol;Acc:HGNC:5834],ENSG00000211598.2,2.803605531479181,7.152540533757251,4.828321221857181,5.6502396733836584e-6,0.0013838216303519806,TRUE
KIF18B,17,44924709,44947773,23065,-,ENSG00000186185,KIF18B,protein_coding,chromosome,kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102],ENSG00000186185.14,2.739866689035402,2.206481618644618,4.792165852482975,6.417498932232173e-6,0.0015450944463111529,TRUE
SPON1,11,13962723,14268133,305411,+,ENSG00000262655,SPON1,protein_coding,chromosome,spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252],ENSG00000262655.4,-2.320051076965603,-0.3846833374127511,-4.7727313837460255,6.871187118005478e-6,0.001626753550187797,TRUE
RNASE2,14,20955487,20956436,950,+,ENSG00000169385,RNASE2,protein_coding,chromosome,ribonuclease A family member 2 [Source:HGNC Symbol;Acc:HGNC:10045],ENSG00000169385.3,2.40780972406413,6.881905874993516,4.762718751194748,7.117040912824393e-6,0.0016321845976697523,TRUE
CLSPN,1,35720218,35769978,49761,-,ENSG00000092853,CLSPN,protein_coding,chromosome,claspin [Source:HGNC Symbol;Acc:HGNC:19715],ENSG00000092853.14,2.5971432360726503,2.730670693837376,4.758564748459678,7.2215497191489176e-6,0.0016321845976697523,TRUE
FGFR2,10,121478330,121598458,120129,-,LRG_994,FGFR2,LRG_gene,chromosome,fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689],LRG_994.1,-2.6381131202979313,-1.2419537412362134,-4.757883433568601,7.238833484913368e-6,0.0016321845976697523,TRUE
CLU,8,27596917,27614700,17784,-,ENSG00000120885,CLU,protein_coding,chromosome,clusterin [Source:HGNC Symbol;Acc:HGNC:2095],ENSG00000120885.22,2.1709490375449905,8.041991405745632,4.729754299564587,7.988886186434593e-6,0.0017731582543484906,TRUE
CDC6,17,40287879,40304657,16779,+,ENSG00000094804,CDC6,protein_coding,chromosome,cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744],ENSG00000094804.12,3.055593124895164,3.253024508122528,4.71905985274259,8.293575177735462e-6,0.0018034544987008563,TRUE
TICRR,15,89575469,89631056,55588,+,ENSG00000140534,TICRR,protein_coding,chromosome,TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704],ENSG00000140534.14,3.024059949432916,1.381907446562135,4.716120126504517,8.379302845072617e-6,0.0018034544987008563,TRUE
RRBP1,20,17613678,17682295,68618,-,ENSG00000125844,RRBP1,protein_coding,chromosome,ribosome binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10448],ENSG00000125844.16,1.843310832371178,7.018465963417778,4.70800887628622,8.62036360353065e-6,0.001827645746091834,TRUE
ASPM,1,197084127,197146694,62568,-,ENSG00000066279,ASPM,protein_coding,chromosome,abnormal spindle microtubule assembly [Source:HGNC Symbol;Acc:HGNC:19048],ENSG00000066279.18,2.8846084191630768,2.9834658182679976,4.68693636123762,9.278782879512531e-6,0.001912997073207427,TRUE
AC114797.1,4,69215908,69216635,728,-,ENSG00000268803,AC114797.1,unprocessed_pseudogene,chromosome,UDP glucuronosyltransferase 2 family pseudogene,ENSG00000268803.1,-3.8673687808192336,-1.9628402655392503,-4.686521497496095,9.292277229941039e-6,0.001912997073207427,TRUE
IGHV3-33,14,106359793,106360324,532,-,ENSG00000211955,IGHV3-33,IG_V_gene,chromosome,immunoglobulin heavy variable 3-33 [Source:HGNC Symbol;Acc:HGNC:5596],ENSG00000211955.2,3.60523922674685,7.055966290460358,4.617974516100776,1.1796138338269392e-5,0.00234690891721527,TRUE
GZMK,5,55024256,55034570,10315,+,ENSG00000113088,GZMK,protein_coding,chromosome,granzyme K [Source:HGNC Symbol;Acc:HGNC:4711],ENSG00000113088.6,-2.3344184675509516,4.24398275214121,-4.616920097074721,1.1839369520548117e-5,0.00234690891721527,TRUE
H3C8,6,26269405,26271815,2411,-,ENSG00000273983,H3C8,protein_coding,chromosome,H3 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4772],ENSG00000273983.1,2.771548898952677,-1.0654709684441426,4.61555420828426,1.189563125938046e-5,0.00234690891721527,TRUE
SLC26A8,6,35943516,36024868,81353,-,ENSG00000112053,SLC26A8,protein_coding,chromosome,solute carrier family 26 member 8 [Source:HGNC Symbol;Acc:HGNC:14468],ENSG00000112053.14,2.9385684928293627,4.698286300279334,4.608501023734759,1.2190338733569889e-5,0.0023721063247994557,TRUE
LTK,15,41503637,41513887,10251,-,ENSG00000062524,LTK,protein_coding,chromosome,leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6721],ENSG00000062524.16,-1.8889229220780683,1.775947920492053,-4.554030227950721,1.4719488384086762e-5,0.0027325628225576427,TRUE
KIF14,1,200551497,200620751,69255,-,ENSG00000118193,KIF14,protein_coding,chromosome,kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181],ENSG00000118193.12,2.714509155692373,2.1743823876327415,4.5509147294232974,1.4878690062935091e-5,0.0027325628225576427,TRUE
TOP2A,17,40388525,40417896,29372,-,ENSG00000131747,TOP2A,protein_coding,chromosome,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989],ENSG00000131747.15,2.456887723561973,4.794144869265536,4.550751068735479,1.488709936082039e-5,0.0027325628225576427,TRUE
ESPL1,12,53268299,53293638,25340,+,ENSG00000135476,ESPL1,protein_coding,chromosome,"extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]",ENSG00000135476.12,3.081338057309634,2.3896035652035104,4.55044446137004,1.4902867539247382e-5,0.0027325628225576427,TRUE
CR1,1,207496147,207641765,145619,+,ENSG00000203710,CR1,protein_coding,chromosome,complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334],ENSG00000203710.11,2.05823176268727,8.707189652619403,4.54847428981962,1.5004568825026126e-5,0.0027325628225576427,TRUE
IGLC1,22,22895375,22895834,460,+,ENSG00000211675,IGLC1,IG_C_gene,chromosome,immunoglobulin lambda constant 1 [Source:HGNC Symbol;Acc:HGNC:5855],ENSG00000211675.2,2.8580462747850053,8.525966575478506,4.536273641502216,1.5649634069766228e-5,0.0027872289925336157,TRUE
NCR3,6,31588895,31593006,4112,-,ENSG00000204475,NCR3,protein_coding,chromosome,natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077],ENSG00000204475.10,-1.8848214607881149,2.852379389414701,-4.535394039916694,1.5697171376465277e-5,0.0027872289925336157,TRUE
TRIM51BP,11,89854953,89862893,7941,+,ENSG00000204455,TRIM51BP,unprocessed_pseudogene,chromosome,"tripartite motif-containing 51B, pseudogene [Source:HGNC Symbol;Acc:HGNC:37145]",ENSG00000204455.7,-3.3123426478989115,-2.593309487005903,-4.53004720774104,1.5989191425355282e-5,0.0028040304221873063,TRUE
MCEMP1,19,7676628,7679826,3199,+,ENSG00000183019,MCEMP1,protein_coding,chromosome,mast cell expressed membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:27291],ENSG00000183019.7,2.7619618892431212,6.482709604989668,4.5193363514912965,1.6590175683207343e-5,0.0028739444582921987,TRUE
H3C4,6,26196840,26197250,411,-,ENSG00000197409,H3C4,protein_coding,chromosome,H3 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4767],ENSG00000197409.7,2.858552988143936,1.3565594162019663,4.4946247847495835,1.8062045984704726e-5,0.003091221243526875,TRUE
CXCR6,3,45940933,45948351,7419,+,ENSG00000172215,CXCR6,protein_coding,chromosome,C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647],ENSG00000172215.6,-2.1302618601531638,2.3986963988519974,-4.469231115030041,1.9706995985557907e-5,0.003332593785414882,TRUE
CDCA2,8,25459199,25507911,48713,+,ENSG00000184661,CDCA2,protein_coding,chromosome,cell division cycle associated 2 [Source:HGNC Symbol;Acc:HGNC:14623],ENSG00000184661.14,2.8927365151942177,1.9637945251079738,4.456159327993297,2.0609790784681713e-5,0.00341788931311032,TRUE
CLEC10A,17,7074537,7080307,5771,-,ENSG00000132514,CLEC10A,protein_coding,chromosome,C-type lectin domain containing 10A [Source:HGNC Symbol;Acc:HGNC:16916],ENSG00000132514.13,-2.3702598969627737,2.6038134152149577,-4.454988283614569,2.069260689387452e-5,0.00341788931311032,TRUE
CDCA5,11,65066300,65084164,17865,-,ENSG00000146670,CDCA5,protein_coding,chromosome,cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626],ENSG00000146670.10,2.736634055728171,3.1879121768733816,4.429535405064209,2.2574886270976006e-5,0.0036859340170024616,TRUE
ALOX15,17,4630919,4642294,11376,-,ENSG00000161905,ALOX15,protein_coding,chromosome,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433],ENSG00000161905.13,-3.5483097785859243,0.41546983617670763,-4.417923981258669,2.3488062547901052e-5,0.0037914537328742545,TRUE
HP,16,72054505,72061055,6551,+,ENSG00000257017,HP,protein_coding,chromosome,haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141],ENSG00000257017.9,3.5364226290411156,5.813769476046105,4.4103824824174644,2.4100276781560856e-5,0.0038465666481131678,TRUE
SHCBP1,16,46578591,46621379,42789,-,ENSG00000171241,SHCBP1,protein_coding,chromosome,SHC binding and spindle associated 1 [Source:HGNC Symbol;Acc:HGNC:29547],ENSG00000171241.9,2.8526308124149686,3.7031329325607696,4.3903363240809545,2.5804054922004064e-5,0.0040727400018563086,TRUE
DLGAP5,14,55148112,55191608,43497,-,ENSG00000126787,DLGAP5,protein_coding,chromosome,DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864],ENSG00000126787.13,2.5715223205076017,3.139242891217309,4.37155637344319,2.7506285489304703e-5,0.004256240068295645,TRUE
CYSLTR2,13,48653711,48711226,57516,+,ENSG00000152207,CYSLTR2,protein_coding,chromosome,cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274],ENSG00000152207.7,-2.1939312718280575,2.395812341976677,-4.368495473852632,2.779389000742983e-5,0.004256240068295645,TRUE
